District,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105.00,2741239.00
Agra,Uttar Pradesh,4041.00,4418797.00
Ahmadabad,Gujarat,8107.00,7214225.00
Ahmadnagar,Maharashtra,17048.00,4543159.00
Aizawl,Mizoram,3576.00,400309.00
Ajmer,Rajasthan,8481.00,2583052.00
Akola,Maharashtra,5676.00,1813906.00
Alappuzha,Kerala,1415.00,2127789.00
Aligarh,Uttar Pradesh,3650.00,3673889.00
Alirajpur,Madhya Pradesh,3182.00,728999.00
Allahabad,Uttar Pradesh,5482.00,5954391.00
Almora,Uttarakhand,3144.00,622506.00
Alwar,Rajasthan,8380.00,3674179.00
Ambala,Haryana,1574.00,1128350.00
Ambedkar Nagar,Uttar Pradesh,2350.00,2397888.00
Amravati,Maharashtra,12210.00,2888445.00
Amreli,Gujarat,7397.00,1514190.00
Amritsar,Punjab,2683.00,2490656.00
Anand,Gujarat,3204.00,2092745.00
Anantapur,Andhra Pradesh,19130.00,4081148.00
Anantnag,Jammu and Kashmir,3574.00,1078692.00
Anjaw,Arunachal Pradesh,6190.00,21167.00
Anugul,Orissa,6375.00,1273821.00
Anuppur,Madhya Pradesh,3747.00,749237.00
Araria,Bihar,2830.00,2811569.00
Ariyalur,Tamil Nadu,1940.00,754894.00
Arwal,Bihar,638.00,700843.00
Ashoknagar,Madhya Pradesh,4674.00,845071.00
Auraiya,Uttar Pradesh,2016.00,1379545.00
Aurangabad,Maharashtra,3305.00,2540073.00
Aurangabad,Maharashtra,10107.00,3701282.00
Azamgarh,Uttar Pradesh,4054.00,4613913.00
Badgam,Jammu and Kashmir,1361.00,753745.00
Bagalkot,Karnataka,6552.00,1889752.00
Bageshwar,Uttarakhand,2241.00,259898.00
Baghpat,Uttar Pradesh,1321.00,1303048.00
Bahraich,Uttar Pradesh,5237.00,3487731.00
Baksa,Assam,2457.00,950075.00
Balaghat,Madhya Pradesh,9229.00,1701698.00
Balangir,Orissa,6575.00,1648997.00
Baleshwar,Orissa,3806.00,2320529.00
Ballia,Uttar Pradesh,2981.00,3239774.00
Balrampur,Uttar Pradesh,3349.00,2148665.00
Banaskantha,Gujarat,10743.00,3120506.00
Banda,Uttar Pradesh,4408.00,1799410.00
Bandipora,Jammu and Kashmir,345.00,392232.00
Bangalore,Karnataka,2196.00,9621551.00
Bangalore Rural,Karnataka,2298.00,990923.00
Banka,Bihar,3020.00,2034763.00
Bankura,West Bengal,6882.00,3596674.00
Banswara,Rajasthan,4522.00,1797485.00
Barabanki,Uttar Pradesh,4402.00,3260699.00
Baramula,Jammu and Kashmir,4243.00,1008039.00
Baran,Rajasthan,6992.00,1222755.00
Barddhaman,West Bengal,7024.00,7717563.00
Bareilly,Uttar Pradesh,4120.00,4448359.00
Bargarh,Orissa,5837.00,1481255.00
Barmer,Rajasthan,28387.00,2603751.00
Barnala,Punjab,1482.00,595527.00
Barpeta,Assam,2282.00,1693622.00
Barwani,Madhya Pradesh,5427.00,1385881.00
Bastar,Chhattisgarh,10470.00,1413199.00
Basti,Uttar Pradesh,2688.00,2464464.00
Bathinda,Punjab,3353.00,1388525.00
Baudh,Orissa,3098.00,441162.00
Begusarai,Bihar,1918.00,2970541.00
Belgaum,Karnataka,13433.00,4779661.00
Bellary,Karnataka,8461.00,2452595.00
Betul,Madhya Pradesh,10043.00,1575362.00
Bhadrak,Orissa,2505.00,1506337.00
Bhagalpur,Bihar,2569.00,3037766.00
Bhandara,Maharashtra,4087.00,1200334.00
Bharatpur,Rajasthan,5066.00,2548462.00
Bharuch,Gujarat,6509.00,1551019.00
Bhavnagar,Gujarat,10034.00,2880365.00
Bhilwara,Rajasthan,10455.00,2408523.00
Bhind,Madhya Pradesh,4459.00,1703005.00
Bhiwani,Haryana,4778.00,1634445.00
